attribute,utility_range,importance_pct,brand
Price_Bucket,0.2946675424225952,17.292321033954792,ASUS
Processor_Tier,0.7088138584169186,41.59615508478093,ASUS
RAM_Bucket,0.2694008230237351,15.809564501871812,ASUS
Storage_Bucket,0.29573742621553556,17.3551062795385,ASUS
Warranty_Bucket,0.13541731432867088,7.946853099853941,ASUS
Price_Bucket,0.3773686268571743,20.170584265597125,Acer
Processor_Tier,0.8139285508846598,43.50497962303585,Acer
RAM_Bucket,0.3081912797599756,16.473012688131004,Acer
Storage_Bucket,0.19486726195052873,10.415774518709442,Acer
Warranty_Bucket,0.17653022955218742,9.43564890452659,Acer
Price_Bucket,0.4166198248562805,22.895606471166467,DELL
Processor_Tier,0.5109889683608383,28.081722550608283,DELL
RAM_Bucket,0.26689366987450214,14.66731074835432,DELL
Storage_Bucket,0.3807597832657802,20.924895162411566,DELL
Warranty_Bucket,0.2443874116717487,13.430465067459362,DELL
Price_Bucket,0.4160360554551045,27.87967794971128,HP
Processor_Tier,0.4258165342215708,28.535093735501256,HP
RAM_Bucket,0.14639949049142525,9.81061759764523,HP
Storage_Bucket,0.3252272327253927,21.79433823095224,HP
Warranty_Bucket,0.17877628706551907,11.98027248619,HP
Price_Bucket,0.3794694611971975,21.75405581996935,Lenovo
Processor_Tier,0.5406987844796183,30.996938468380925,Lenovo
RAM_Bucket,0.3493305916712922,20.02626816625721,Lenovo
Storage_Bucket,0.2650267636508326,15.193335959253778,Lenovo
Warranty_Bucket,0.20983629793881864,12.02940158613874,Lenovo
