scope,attribute,utility_range,importance_pct
Overall,Company,0.3469834163317699,16.65758172202757
Overall,Price,0.3768228113579471,18.09007716068321
Overall,Processor,0.6092927186394039,29.25022573317417
Overall,RAM,0.2605394408612967,12.507678533572188
Overall,Storage,0.2947044315729861,14.147832206703717
Overall,Warranty,0.1946931352065992,9.34660464383914
ASUS,Price,0.2946675424225952,17.292321033954792
ASUS,Processor,0.7088138584169186,41.59615508478093
ASUS,RAM,0.2694008230237351,15.809564501871812
ASUS,Storage,0.29573742621553556,17.3551062795385
ASUS,Warranty,0.13541731432867088,7.946853099853941
Acer,Price,0.3773686268571743,20.170584265597125
Acer,Processor,0.8139285508846598,43.50497962303585
Acer,RAM,0.3081912797599756,16.473012688131004
Acer,Storage,0.19486726195052873,10.415774518709442
Acer,Warranty,0.17653022955218742,9.43564890452659
DELL,Price,0.4166198248562805,22.895606471166467
DELL,Processor,0.5109889683608383,28.081722550608283
DELL,RAM,0.26689366987450214,14.66731074835432
DELL,Storage,0.3807597832657802,20.924895162411566
DELL,Warranty,0.2443874116717487,13.430465067459362
HP,Price,0.4160360554551045,27.87967794971128
HP,Processor,0.4258165342215708,28.535093735501256
HP,RAM,0.14639949049142525,9.81061759764523
HP,Storage,0.3252272327253927,21.79433823095224
HP,Warranty,0.17877628706551907,11.98027248619
Lenovo,Price,0.3794694611971975,21.75405581996935
Lenovo,Processor,0.5406987844796183,30.996938468380925
Lenovo,RAM,0.3493305916712922,20.02626816625721
Lenovo,Storage,0.2650267636508326,15.193335959253778
Lenovo,Warranty,0.20983629793881864,12.02940158613874
