attribute,max_vif,mean_vif
Company_Bucket_10,1.7384949912273409,1.6543295657072616
Price_Bucket,1.8493582495352556,1.8236571417343002
Processor_Tier,1.7329805613779654,1.6794874705780056
RAM_Bucket,1.826050815077367,1.8191028449726268
Storage_Bucket,1.949001475378508,1.9141126402066635
Warranty_Bucket,1.902348316750737,1.8688655593148797
