attribute,level,raw_partworth_vs_baseline,zero_centered_partworth
Price_Bucket,Budget,0.0,0.12708427746585207
Price_Bucket,Mid-range,-0.086585289974961,0.04049898749089108
Price_Bucket,Premium,-0.2946675424225952,-0.1675832649567431
Processor_Tier,Entry,0.0,-0.2933495145522278
Processor_Tier,Mainstream,0.20196703728032242,-0.09138247727190538
Processor_Tier,Upper mainstream,0.2344038312069202,-0.05894568334530759
Processor_Tier,Performance,0.3946052831610336,0.10125576860880581
Processor_Tier,Premium performance,0.7088138584169186,0.4154643438646908
Processor_Tier,Other,0.22030707724817192,-0.07304243730405588
RAM_Bucket,8 GB or less,0.0,-0.14492462460122332
RAM_Bucket,16 GB,0.16537305077993486,0.020448426178711537
RAM_Bucket,24 GB or more,0.2694008230237351,0.12447619842251176
Storage_Bucket,256 GB or less,0.0,-0.15977971060277754
Storage_Bucket,512 GB,0.18360170559279712,0.02382199499001958
Storage_Bucket,1 TB or more,0.29573742621553556,0.13595771561275802
Warranty_Bucket,1 year,0.0,-0.07586962689354733
Warranty_Bucket,2 years,0.0921915663519711,0.016321939458423765
Warranty_Bucket,3+ years,0.13541731432867088,0.05954768743512355
