attribute,level,raw_partworth_vs_baseline,zero_centered_partworth
Price_Bucket,Budget,0.0,0.19458389429862102
Price_Bucket,Mid-range,-0.16771562744075852,0.026868266857862505
Price_Bucket,Premium,-0.4160360554551045,-0.2214521611564835
Processor_Tier,Entry,0.0,-0.21515572108384284
Processor_Tier,Mainstream,0.13545792522933425,-0.07969779585450859
Processor_Tier,Upper mainstream,0.33728417008370315,0.1221284489998603
Processor_Tier,Performance,0.31452569101655364,0.0993699699327108
Processor_Tier,Premium performance,0.4258165342215708,0.21066081313772794
Processor_Tier,Other,0.07785000595189506,-0.13730571513194778
RAM_Bucket,8 GB or less,0.0,-0.0742919855213069
RAM_Bucket,16 GB,0.07647646607249545,0.002184480551188542
RAM_Bucket,24 GB or more,0.14639949049142525,0.07210750497011835
Storage_Bucket,256 GB or less,0.0,-0.17814008454150687
Storage_Bucket,512 GB,0.2091930208991279,0.03105293635762102
Storage_Bucket,1 TB or more,0.3252272327253927,0.14708714818388585
Warranty_Bucket,1 year,0.0,-0.11111011620214195
Warranty_Bucket,2 years,0.17877628706551907,0.06766617086337712
Warranty_Bucket,3+ years,0.15455406154090678,0.04344394533876483
