brand,n_obs,r_squared,adj_r_squared,holdout_r2,holdout_rmse,holdout_mae
ASUS,140,0.7389066829592972,0.7119684835820819,0.69835098865374,0.19157743143465963,0.17579649236423547
Acer,110,0.7872025269004567,0.7583862024182269,0.6408548017216515,0.2097328453861277,0.17679268540064272
DELL,120,0.7305075256235161,0.6974565617848907,0.5563919467786304,0.2421876185782488,0.18047286095010218
HP,125,0.7166804914882456,0.6834989274283105,0.5579659219682882,0.26021634885073947,0.1946938929527606
Lenovo,140,0.7351584646892284,0.7078335443793868,0.6582543497269191,0.19098721780758499,0.15103514052133704
